lat,long
22.7655144,121.1269218
22.793711,121.12316099999998
22.8618526,121.13775229999999
22.911272,121.13615400000003
22.955992,121.15896399999997
22.979984,121.15583900000001
23.0164374,121.1491213
23.045487,121.16435999999999
23.102934,121.176829
23.126321,121.21962000000008
23.17097,121.24681800000008
23.2260299,121.27841749999993
23.2722825,121.30402900000001
23.297176,121.33331999999996
23.3315824,121.31180159999997
23.424534,121.34540300000003
23.497375,121.37684100000001
23.580547,121.38020299999994
23.605688,121.38962400000003
23.666293,121.42116699999997
23.71062,121.41959300000008
23.745826,121.44868399999996
23.848475,121.49616700000001
23.869015,121.51063199999999
23.882774,121.52048500000001
23.906841,121.52992199999994
23.968154,121.58267000000001
23.9929463,121.60111419999998
24.032505,121.60166600000002
24.090379,121.61093099999994
24.1275453,121.64087210000002
24.172134,121.65549699999997
24.2421204,121.71189430000004
24.298295,121.75334499999997
24.335428,121.76835400000004
24.448673,121.77603599999998
24.4633758,121.80099970000003
24.51828,121.83070399999997
24.568413,121.84437200000002
24.59518,121.85144000000003
24.6087,121.82745299999999
24.615395,121.8229
24.636296,121.79210699999999
24.677928,121.774629
24.694165,121.77525500000002
24.705301,121.77418
24.7543117,121.758378
24.786801,121.76272700000004
24.8270345,121.77535360000002
24.843896,121.80912000000001
24.8589514,121.822543
24.8838193,121.84584610000002
24.904818,121.868878
24.9384234,121.8898729
24.966798,121.92249600000002
24.978334,121.94519100000002
25.015921,121.94478000000004
25.022062,121.90868699999999
25.038554,121.86655300000007
25.058767,121.85199799999998
25.065544,121.82255800000007
25.0870458,121.82721760000004
25.1087066,121.8060954
25.1027744,121.76194020000003
25.10229,121.74032
25.1316007,121.73837800000001
25.108334,121.72905400000002
25.0934032,121.71445689999996
25.077857,121.66762900000003
25.068315,121.66173400000002
25.052905,121.60704750000002
25.0492867,121.5782716
25.047923,121.51708000000008
25.0333639,121.499957
25.0145999,121.46252989999994
24.9913586,121.42441129999997
24.97248,121.39261399999998
24.9545692,121.35514690000002
24.989206,121.31354499999998
24.972769,121.25821100000007
24.9536701,121.22578369999997
24.919588,121.18350199999998
24.914094,121.14605099999994
24.9345816,121.0830929
24.902921,121.04378999999994
24.870397,120.99697100000003
24.8396572,121.00957649999998
24.8015795,120.9716565
24.7631254,120.91389920000006
24.722878,120.871892
24.6866588,120.88069369999994
24.656414,120.85824100000002
24.645645,120.80377799999997
24.615915,120.78712900000005
24.611682,120.75814100000002
24.564796,120.70819699999993
24.540179,120.69517900000005
24.491403,120.67842399999995
24.443425,120.65149300000007
24.3780779,120.65409479999994
24.344513,120.62706600000001
24.304388,120.602303
24.263623,120.56917799999997
24.237044,120.55762600000003
24.197443,120.54337099999998
24.154023,120.54253500000004
24.120577,120.57012699999996
24.641862,120.86719399999993
24.6044168,120.82611470000006
24.57002,120.82234300000005
24.52248,120.79154399999993
24.4863229,120.78616050000005
24.4207887,120.7739967
24.331291,120.74181599999997
24.309187,120.73295099999996
24.254112,120.72291700000005
24.212824,120.70557099999996
24.1374957,120.68659930000001
24.1097634,120.61430900000005
24.11423,120.59020099999998
24.0816314,120.53844430000004
24.024996,120.53739900000005
23.9593608,120.56962750000002
23.9280245,120.57172300000002
23.89571,120.58079999999995
23.8583717,120.59148060000007
23.8132209,120.61805809999998
23.75968,120.61498699999993
23.731722,120.579971
23.711792,120.54116999999997
23.6729716,120.48084059999996
23.639508,120.471048
23.6010548,120.45582949999994
23.555243,120.43147299999998
23.4791187,120.44113820000007
23.433976,120.39970599999992
23.413433,120.38653899999997
23.366246,120.36060299999997
23.306731,120.32305500000007
23.277619,120.32251900000006
23.2425804,120.32106780000004
23.198991,120.31661899999995
23.172168,120.32119660000001
23.133323,120.30655000000002
23.06819,120.29004299999997
23.0384479,120.25343620000001
22.9971157,120.21260069999994
22.932952,120.23163499999998
22.9045637,120.25268619999997
22.878186,120.25394099999994
22.85395,120.26626599999997
22.79227,120.30001900000002
22.76084,120.31018700000004
22.727035,120.32437000000004
22.6873814,120.30748779999999
22.6397615,120.30210699999998
22.6317402,120.35731140000007
22.640163,120.39131299999997
22.6564472,120.42093969999996
22.665986,120.46499500000004
22.668857,120.48596329999998
22.652222,120.50301100000001
22.634819,120.514367
22.62104,120.52523799999994
22.586464,120.53996299999994
22.5501564,120.53603139999996
22.514442,120.51342699999998
22.490098,120.51025300000003
22.45793,120.51122199999998
22.4313414,120.51528259999998
22.415132,120.54906400000004
22.398968,120.57235600000001
22.368018,120.59509700000001
22.330971,120.62462000000005
22.306185,120.64334699999995
22.267061,120.65950299999997
22.345508,120.87807799999996
22.365216,120.900799
22.460981,120.94179200000008
22.531571,120.96724900000004
22.531571,120.96724900000004
22.6188232,121.00500699999998
22.710185,121.06066899999996
22.764274,121.09355499999992
24.1188955,120.64786939999999
25.123052,121.74201600000004
24.1666822,120.70007940000005
23.019307,120.22434799999996
25.049913,121.79754300000002
25.041153,121.77516200000002
25.034495,121.76375099999996
25.030099,121.74810200000002
25.025651,121.74001699999997
25.02388,121.72372199999995
24.781296,121.031296
24.777831,121.055698
