"stop_name","lat","long"
"佳冬火車站",22.415132,120.549064
"東海火車站",22.398968,120.572356
"枋寮火車站",22.368018,120.595097
"加祿火車站",22.330971,120.62462
"內獅火車站",22.306185,120.643347
"枋山火車站",22.267061,120.659503
"古莊火車站",22.345508,120.878078
"大武火車站",22.365216,120.900799
"瀧溪火車站",22.460981,120.941792
"多良火車站",22.531571,120.967249
"金崙火車站",22.531571,120.967249
"太麻里火車站",22.6188232,121.005007
"知本火車站",22.710185,121.060669
"康樂火車站",22.764274,121.093555
"大慶火車站",24.1188955,120.6478694
"三坑火車站",25.123052,121.742016
"太原火車站",24.1666822,120.7000794
"大橋火車站",23.019307,120.224348
"大華火車站",25.049913,121.797543
"十分火車站",25.041153,121.775162
"望古火車站",25.034495,121.763751
"嶺腳火車站",25.030099,121.748102
"平溪火車站",25.025651,121.740017
"菁桐火車站",25.02388,121.723722
"竹中火車站",24.781296,121.031296
"上員火車站",24.777831,121.055698
"竹東火車站",24.7382204,121.0947419
"橫山火車站",24.720563,121.116546
"九讚頭火車站",24.7205936,121.1363976
"合興火車站",24.716709,121.15439
"富貴火車站",24.715542,121.167371
"內灣火車站",24.716709,121.15439
"榮華火車站",24.748484,121.083006
"源泉火車站",23.798444,120.642033
"濁水火車站",23.834664,120.704719
"龍泉火車站",23.835158,120.750117
"集集火車站",23.826451,120.78489
"水里火車站",23.818455,120.853322
"車埕火車站",23.8326153,120.8661169
"南平火車站",26.798742,117.815946
"溪口火車站",23.819105,121.474525
"瑞北火車站",23.497375,121.3746523
"舊台東火車站",22.793711,121.123161
"新左營火車站",22.6873814,120.3074878
"嘉北火車站",23.499805,120.448453
"永春火車站",25.040859,121.576292
"香蘭火車站",46.652644,129.757827
"大村火車站",23.9900527,120.5606453
"枋野火車站",22.280917,120.717167
"百福火車站",25.077924,121.693623
"新烏日火車站",24.1097634,120.614309
"汐科火車站",25.062562,121.64665
"南科火車站",23.107024,120.301923
"長榮火車站",22.9072505,120.2721933
"沙崙火車站",22.9238933,120.2863924
"浮洲火車站",25.004192,121.444737
"北新竹火車站",24.808765,120.983824
"千甲火車站",24.806746,121.003064
"新莊火車站",24.788158,121.021856
"六家火車站",24.807527,121.0393
"仁德火車站",22.9234,120.240447
"北湖火車站",24.922226,121.055735
"海科館火車站",25.137638,121.80001
"干城火車站",23.942712,121.544258
"深澳火車站",25.12778,121.81681
