"stop_name","yearFlow","lat","long"
"壽豐火車站",200170,23.869015,121.510632
"豐富火車站",196787,24.6044168,120.8261147
"暖暖火車站",196091,25.10229,121.74032
"志學火車站",191183,23.906841,121.529922
"鹿野火車站",188296,22.911272,121.136154
"金崙火車站",178477,22.531571,120.967249
"貢寮火車站",170586,25.022062,121.908687
"西勢火車站",168824,22.62104,120.525238
"大溪火車站",168404,24.9384234,121.8898729
"崁頂火車站",163272,22.514442,120.513427
"富里火車站",162868,23.17097,121.246818
"南靖火車站",159546,23.413433,120.386539
"白沙屯火車站",157924,24.564796,120.708197
"水里火車站",151646,23.818455,120.853322
"大武火車站",147527,22.365216,120.900799
"大里火車站",146039,24.966798,121.922496
"濁水火車站",131316,23.834664,120.704719
"崎頂火車站",124192,24.722878,120.871892
"佳冬火車站",116155,22.415132,120.549064
"太麻里火車站",115747,22.6188232,121.005007
"榮華火車站",115190,24.748484,121.083006
"竹田火車站",109244,22.586464,120.539963
"拔林火車站",108623,23.172168,120.3211966
"四城火車站",108477,24.786801,121.762727
"石榴火車站",103510,23.731722,120.579971
"牡丹火車站",103196,25.058767,121.851998
"大山火車站",100774,24.645645,120.803778
"二結火車站",98419,24.705301,121.77418
"頂埔火車站",98286,24.843896,121.80912
"橫山火車站",95508,24.720563,121.116546
"石龜火車站",91616,23.639508,120.471048
"外澳火車站",84010,24.8838193,121.8458461
"龜山火車站",81594,24.904818,121.868878
"豐田火車站",63459,23.848475,121.496167
"南勢火車站",59917,24.52248,120.791544
"六塊厝火車站",59255,22.665986,120.464995
"三貂嶺火車站",57198,25.065544,121.822558
"上員火車站",54635,24.777831,121.055698
"合興火車站",54630,24.716709,121.15439
"台中港火車站",52504,24.304388,120.602303
"新埔火車站",50095,24.540179,120.695179
"歸來火車站",48686,22.652222,120.503011
"東海火車站",45595,22.398968,120.572356
"九讚頭火車站",40179,24.7205936,121.1363976
"瑞源火車站",38327,22.955992,121.158964
"富源火車站",36166,23.580547,121.380203
"萬榮火車站",35892,23.71062,121.419593
"和仁火車站",34939,24.2421204,121.7118943
"崇德火車站",34601,24.172134,121.655497
"麟洛火車站",26814,22.634819,120.514367
"瀧溪火車站",23950,22.460981,120.941792
"石城火車站",22495,24.978334,121.945191
"龍港火車站",21753,24.611682,120.758141
"龍泉火車站",21417,23.835158,120.750117
"嶺腳火車站",21121,25.030099,121.748102
"談文火車站",20829,24.656414,120.858241
"源泉火車站",20037,23.798444,120.642033
"中里火車站",17884,24.694165,121.775255
"東里火車站",16261,23.2722825,121.304029
"新馬火車站",16146,24.615395,121.8229
"南平火車站",16123,26.798742,117.815946
"鎮安火車站",15904,22.45793,120.511222
"康樂火車站",15630,22.764274,121.093555
"漢本火車站",15499,24.335428,121.768354
"永樂火車站",14632,24.568413,121.844372
